SREBF1_MOUSE.MA0595.1	SREBF1
SREBF2_MOUSE.MA0596.1	SREBF2
THAP1_MOUSE.MA0597.1	THAP1
KLF5_MOUSE.MA0599.1	KLF5
Arid3b_MOUSE.MA0601.1	Arid3b
Arid5a_MOUSE.MA0602.1	Arid5a
Arntl_MOUSE.MA0603.1	Arntl
Atf1_MOUSE.MA0604.1	Atf1
Atf3_MOUSE.MA0605.1	Atf3
NFAT5_MOUSE.MA0606.1	NFAT5
Bhlha15_MOUSE.MA0607.1	Bhlha15
Creb3l2_MOUSE.MA0608.1	Creb3l2
Crem_MOUSE.MA0609.1	Crem
DMRT3_MOUSE.MA0610.1	DMRT3
Dux_MOUSE.MA0611.1	Dux
EMX1_MOUSE.MA0612.1	EMX1
FOXG1_MOUSE.MA0613.1	FOXG1
Foxj2_MOUSE.MA0614.1	Foxj2
Gmeb1_MOUSE.MA0615.1	Gmeb1
Hes1_MOUSE.MA1099.1	Hes1
Hes2_MOUSE.MA0616.1	Hes2
Id2_MOUSE.MA0617.1	Id2
LBX1_MOUSE.MA0618.1	LBX1
LIN54_MOUSE.MA0619.1	LIN54
mix-a_MOUSE.MA0621.1	mix-a
Mlxip_MOUSE.MA0622.1	Mlxip
Neurog1_MOUSE.MA0623.1	Neurog1
NFATC1_MOUSE.MA0624.1	NFATC1
NFATC3_MOUSE.MA0625.1	NFATC3
Npas2_MOUSE.MA0626.1	Npas2
Pou2f3_MOUSE.MA0627.1	Pou2f3
POU6F1_MOUSE.MA0628.1	POU6F1
Rhox11_MOUSE.MA0629.1	Rhox11
SHOX_MOUSE.MA0630.1	SHOX
Six3_MOUSE.MA0631.1	Six3
Tcfl5_MOUSE.MA0632.1	Tcfl5
Twist2_MOUSE.MA0633.1	Twist2
ALX3_MOUSE.MA0634.1	ALX3
Ar_MOUSE.MA0007.3	Ar
BARHL2_MOUSE.MA0635.1	BARHL2
BHLHE41_MOUSE.MA0636.1	BHLHE41
CENPB_MOUSE.MA0637.1	CENPB
CREB3_MOUSE.MA0638.1	CREB3
DBP_MOUSE.MA0639.1	DBP
EBF1_MOUSE.MA0154.3	EBF1
EHF_MOUSE.MA0598.2	EHF
ELF3_MOUSE.MA0640.1	ELF3
ELF4_MOUSE.MA0641.1	ELF4
ELF5_MOUSE.MA0136.2	ELF5
EN1_MOUSE.MA0027.2	EN1
EN2_MOUSE.MA0642.1	EN2
Esrrg_MOUSE.MA0643.1	Esrrg
ESX1_MOUSE.MA0644.1	ESX1
ETV6_MOUSE.MA0645.1	ETV6
FLI1_MOUSE.MA0475.2	FLI1
FOXI1_MOUSE.MA0042.2	FOXI1
FOXL1_MOUSE.MA0033.2	FOXL1
FOXO3_MOUSE.MA0157.2	FOXO3
GCM1_MOUSE.MA0646.1	GCM1
GRHL1_MOUSE.MA0647.1	GRHL1
GSC_MOUSE.MA0648.1	GSC
HEY2_MOUSE.MA0649.1	HEY2
HINFP_MOUSE.MA0131.2	HINFP
HLF_MOUSE.MA0043.2	HLF
HNF1A_MOUSE.MA0046.2	HNF1A
HNF1B_MOUSE.MA0153.2	HNF1B
HOXA13_MOUSE.MA0650.1	HOXA13
HOXC11_MOUSE.MA0651.1	HOXC11
HSF1_MOUSE.MA0486.2	HSF1
IRF8_MOUSE.MA0652.1	IRF8
IRF9_MOUSE.MA0653.1	IRF9
ISX_MOUSE.MA0654.1	ISX
JDP2_MOUSE.MA0655.1	JDP2
JDP2(var.2)_MOUSE.MA0656.1	JDP2(var.2)
KLF13_MOUSE.MA0657.1	KLF13
LHX6_MOUSE.MA0658.1	LHX6
MAFG_MOUSE.MA0659.1	MAFG
MEF2B_MOUSE.MA0660.1	MEF2B
MEOX1_MOUSE.MA0661.1	MEOX1
MIXL1_MOUSE.MA0662.1	MIXL1
MLX_MOUSE.MA0663.1	MLX
MLXIPL_MOUSE.MA0664.1	MLXIPL
MSC_MOUSE.MA0665.1	MSC
MSX1_MOUSE.MA0666.1	MSX1
MYF6_MOUSE.MA0667.1	MYF6
NEUROD2_MOUSE.MA0668.1	NEUROD2
NEUROG2_MOUSE.MA0669.1	NEUROG2
NFIA_MOUSE.MA0670.1	NFIA
NFIX_MOUSE.MA0671.1	NFIX
NHLH1_MOUSE.MA0048.2	NHLH1
NKX2-3_MOUSE.MA0672.1	NKX2-3
