FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
promoter_sum_Il1rl1,Il1rl1 Sum,1.7717922731417715,4.971240161600982,6.04753696772274e-28,0.050398238298409476,-4.971240161600982,6.04753696772274e-28
promoter_sum_Col3a1,Col3a1 Sum,1.6743150283410915,4.889872610748993,1.0811241818141258e-28,0.050398238298409476,-4.889872610748993,1.0811241818141258e-28
promoter_sum_Daam2,Daam2 Sum,1.3990851606685832,4.801678696771628,1.5714495818355895e-24,0.04409845851110829,-4.801678696771628,1.5714495818355895e-24
promoter_sum_Adam23,Adam23 Sum,1.5539019612343692,4.782578597577085,1.2017215462472497e-25,0.050398238298409476,-4.782578597577085,1.2017215462472497e-25
promoter_sum_Postn,Postn Sum,1.0206440926188844,4.763894034312157,3.321163540946272e-20,0.031498898936505926,-4.763894034312157,3.321163540946272e-20
promoter_sum_Spink13,Spink13 Sum,2.207572896956576,4.757058076896046,1.911581896229762e-33,0.07559735744761421,-4.757058076896046,1.911581896229762e-33
promoter_sum_Pde3a,Pde3a Sum,2.196104985803555,4.749563540349122,1.347937346376014e-34,0.07559735744761421,-4.749563540349122,1.347937346376014e-34
promoter_sum_RP23-159L13.1,RP23-159L13.1 Sum,2.477068809052574,4.7163733768872635,1.8805663739087742e-15,0.08819691702221658,-4.7163733768872635,1.8805663739087742e-15
promoter_sum_Trhde,Trhde Sum,2.058490051967301,4.65645413595764,2.9342206818793103e-25,0.07559735744761421,-4.65645413595764,2.9342206818793103e-25
promoter_sum_Fam180a,Fam180a Sum,2.1846370746505337,4.635114663747202,1.714148822386866e-31,0.0818971372349154,-4.635114663747202,1.714148822386866e-31
promoter_sum_Col6a1,Col6a1 Sum,2.178903119074023,4.631333023204776,1.911581896229762e-33,0.0818971372349154,-4.631333023204776,1.911581896229762e-33
promoter_sum_Dchs2,Dchs2 Sum,3.70986925800235,4.619928259932526,4.069003852022792e-43,0.14489493510792725,-4.619928259932526,4.069003852022792e-43
promoter_sum_Gpr173,Gpr173 Sum,1.1926627599142021,4.57239988984994,5.055428184665527e-23,0.04409845851110829,-4.57239988984994,5.055428184665527e-23
promoter_sum_Tspan11,Tspan11 Sum,2.5114725425116373,4.555655046054076,2.1558887926173806e-32,0.10079647659681895,-4.555655046054076,2.1558887926173806e-32
promoter_sum_Islr,Islr Sum,2.2018389413800654,4.546864797742803,3.2650838026462955e-31,0.08819691702221658,-4.546864797742803,3.2650838026462955e-31
promoter_sum_Bdkrb1,Bdkrb1 Sum,2.815372188066698,4.485627168220935,1.339019380978831e-24,0.1196958159587225,-4.485627168220935,1.339019380978831e-24
promoter_sum_Hrasls,Hrasls Sum,1.9438109404370891,4.467076771849155,2.321110627918079e-23,0.0818971372349154,-4.467076771849155,2.321110627918079e-23
promoter_sum_Fgf7,Fgf7 Sum,1.221332537796755,4.436582742727892,1.0322090931554262e-25,0.050398238298409476,-4.436582742727892,1.0322090931554262e-25
promoter_sum_Eya4,Eya4 Sum,1.7545904064122397,4.426695884998145,2.048091392966702e-29,0.07559735744761421,-4.426695884998145,2.048091392966702e-29
promoter_sum_Fibin,Fibin Sum,1.4564247164336892,4.399962575990617,2.9342206818793103e-25,0.06299779787301185,-4.399962575990617,2.9342206818793103e-25
promoter_sum_Dcn,Dcn Sum,2.459866942323042,4.365306093914931,5.3827952489646584e-36,0.11339603617142133,-4.365306093914931,5.3827952489646584e-36
promoter_sum_Map3k7cl,Map3k7cl Sum,1.513764272198795,4.329926806498463,1.819518236711473e-26,0.06929757766031303,-4.329926806498463,1.819518236711473e-26
promoter_sum_Unc5c,Unc5c Sum,3.0217945888210793,4.324472376406355,2.7241596019182525e-29,0.14489493510792725,-4.324472376406355,2.7241596019182906e-29
promoter_sum_Grem1,Grem1 Sum,2.8612438326787832,4.307263086374132,1.2753273565533574e-29,0.13859515532062605,-4.307263086374132,1.2753273565533574e-29
promoter_sum_Twist2,Twist2 Sum,3.721337169155371,4.302446070076355,2.0538007640973675e-39,0.18269361383173435,-4.302446070076355,2.0538007640973675e-39
promoter_sum_Col1a2,Col1a2 Sum,5.286707041542762,4.288962840712733,5.687915945174416e-45,0.26459075106664975,-4.288962840712733,5.687915945174416e-45
promoter_sum_Rbp4,Rbp4 Sum,1.9208751181310468,4.257358180547818,3.127668462985842e-27,0.09449669680951776,-4.257358180547818,3.127668462985842e-27
promoter_sum_Pamr1,Pamr1 Sum,1.0665157372309693,4.242010216214382,3.1953058793627463e-19,0.050398238298409476,-4.242010216214382,3.1953058793627463e-19
promoter_sum_Opcml,Opcml Sum,1.0493138705014375,4.218677712383758,1.2375478512583126e-19,0.050398238298409476,-4.218677712383758,1.2375478512583126e-19
promoter_sum_Pdzrn3,Pdzrn3 Sum,4.329136460265493,4.21782981636118,3.125371392640907e-42,0.22679207234284265,-4.21782981636118,3.125371392640907e-42
promoter_sum_Mmp16,Mmp16 Sum,1.2557362712558187,4.1869688526564195,9.579474410275162e-26,0.06299779787301185,-4.1869688526564195,9.579474410275162e-26
promoter_sum_Tmem132c,Tmem132c Sum,3.2568867674580138,4.159344604948068,3.5891105196993253e-34,0.17639383404443315,-4.159344604948068,3.5891105196993253e-34
promoter_sum_Podnl1,Podnl1 Sum,2.672023298653934,4.147356996757563,4.435090884923413e-29,0.14489493510792725,-4.147356996757563,4.4350908849234765e-29
promoter_sum_Tram1l1,Tram1l1 Sum,1.318809782597435,4.131827298463959,8.624636135221662e-22,0.06929757766031303,-4.131827298463959,8.624636135221662e-22
promoter_sum_Cdh11,Cdh11 Sum,4.627302150244044,4.0969874858187545,1.9494485560802845e-41,0.26459075106664975,-4.0969874858187545,1.9494485560802845e-41
promoter_sum_Bdnf,Bdnf Sum,2.889913610561336,4.090292833244746,1.3541059725687733e-34,0.1637942744698308,-4.090292833244746,1.3541059725687733e-34
promoter_sum_Cdh18,Cdh18 Sum,1.1467911153021175,4.056660830310689,6.651533593801378e-20,0.06299779787301185,-4.056660830310689,6.651533593801378e-20
promoter_sum_Osr1,Osr1 Sum,1.875003473518962,4.0526677609448285,2.5870012734180076e-27,0.10709625638412014,-4.0526677609448285,2.5870012734180076e-27
promoter_sum_Adamts20,Adamts20 Sum,2.4942706757821056,4.048262581824828,2.103527670096278e-31,0.14489493510792725,-4.048262581824828,2.103527670096278e-31
promoter_sum_Wbscr17,Wbscr17 Sum,4.116980103934602,3.9973367135902715,1.0438935588281095e-35,0.2519911914920474,-3.9973367135902715,1.0438935588281095e-35
promoter_sum_Dok5,Dok5 Sum,3.348630056682183,3.969870730989485,8.544846008211512e-31,0.20789273298093908,-3.969870730989485,8.544846008211512e-31
promoter_sum_Adgra1,Adgra1 Sum,2.4541329867465316,3.9660184054938785,1.1942188413344717e-30,0.15119471489522843,-3.9660184054938785,1.1942188413344717e-30
promoter_sum_Col6a3,Col6a3 Sum,2.7465647211485713,3.9645764313199723,1.6068303794726458e-28,0.17009405425713198,-3.9645764313199723,1.6068303794726458e-28
promoter_sum_Agtr1a,Agtr1a Sum,2.5229404536646585,3.949235885185486,4.0985038826593395e-19,0.1574944946825296,-3.949235885185486,4.0985038826593395e-19
promoter_sum_Tmem200a,Tmem200a Sum,1.4506907608571786,3.9468348489327045,1.0038283826553064e-21,0.08819691702221658,-3.9468348489327045,1.0038283826553135e-21
