FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
ELF1_MOUSE.MA0473.2,ELF1,315.1524257154148,-0.16916023531180535,4.989126055598974e-13,354.5559165058207,0.16916023531180535,4.989126055635454e-13
ZBTB7A_MOUSE.MA0750.2,ZBTB7A,1930.8511937688,-0.168812199325183,3.7079246189814865e-18,2171.7406369566147,0.168812199325183,3.707924618882907e-18
YY1_MOUSE.MA0095.2,YY1,1746.022547979093,-0.1685068718717222,3.686473572431238e-18,1963.4375430564078,0.1685068718717222,3.6864735724849375e-18
TBX21_MOUSE.MA0690.1,TBX21,271.09270329919207,-0.16708887024083197,4.3445099398208256e-14,304.54984739950004,0.16708887024083197,4.3445099398195085e-14
Pparg::Rxra_MOUSE.MA0065.2,Pparg::Rxra,1421.0148087364726,-0.16430926439114124,1.0063814166597423e-28,1593.3171982530068,0.16430926439114124,1.0063814166581678e-28
RXRG_MOUSE.MA0856.1,RXRG,731.9445724037354,-0.16304067084117868,3.0259875367322297e-22,819.973810982612,0.16304067084117868,3.0259875366882065e-22
NR2F1_MOUSE.MA0017.2,NR2F1,710.487361603945,-0.16225372680797534,6.844278794291707e-21,795.5019534048739,0.16225372680797534,6.84427879400543e-21
Rxra_MOUSE.MA0512.2,Rxra,729.6138852418686,-0.15973446580724548,1.013081507857588e-21,815.4918088112975,0.15973446580724548,1.0130815078594308e-21
NR2C2_MOUSE.MA0504.1,NR2C2,1978.8049389616058,-0.15619398185575228,3.1649171331183505e-27,2206.295427890297,0.15619398185575228,3.164917133031999e-27
Rarg(var.2)_MOUSE.MA0860.1,Rarg(var.2),251.8001110428554,-0.15274673100509784,2.359033509255144e-10,280.077989821762,0.15274673100509784,2.3590335092519434e-10
Nr2f6_MOUSE.MA0677.1,Nr2f6,943.8194969784462,-0.15239281605754051,8.123383428494132e-22,1049.555414489971,0.15239281605754051,8.123383428494113e-22
HES7_MOUSE.MA0822.1,HES7,158.53253903960356,-0.15106459672669903,8.081670454446868e-08,176.1307417083593,0.15106459672669903,8.081670454449365e-08
HOXD12_MOUSE.MA0873.1,HOXD12,90.59902110047567,-0.14985209090264728,2.7683015272620353e-07,100.57160271929907,0.14985209090264728,2.76830152726234e-07
Esrrg_MOUSE.MA0643.1,Esrrg,721.4364374110438,-0.14893082235397337,1.0307499627556742e-19,800.335978187119,0.14893082235397337,1.0307499627878414e-19
RXRB_MOUSE.MA0855.1,RXRB,713.8946315334554,-0.14479067278988644,1.0557092469629327e-18,789.6998664425691,0.14479067278988644,1.0557092469626142e-18
Esrra_MOUSE.MA0592.2,Esrra,628.2261304486241,-0.14474265618422422,1.838135384398262e-16,694.9114923314178,0.14474265618422422,1.8381353842953357e-16
PKNOX2_MOUSE.MA0783.1,PKNOX2,220.5563047648581,-0.1422271880451964,9.057139465654654e-10,243.54307170159407,0.1422271880451964,9.05713946559335e-10
